textID,text,selected_text,sentiment
bbc3fa38d6,downloading the right/real speedracher now.,downloading the right/real speedracher now.,0
485e0a802f,Ok getting the pink stripey one it`s the most subtle I`m a bit bored of the floral print! Ok?,I`m a bit bored,-1
52c99d546b,working late.. but yet so fun hearing my colleagues funny song lists,working late.. but yet so fun hearing my colleagues funny song lists,0
7f0eab1127,Date movie with Nate. Most likely Wolverine.,Date movie with Nate. Most likely Wolverine.,0
9fedf57dce," episode 17 season 1, i love chuck bass.  who`s going to the short stack filming next sat? Im making a flag. ;D",", i love",1
9adff96a3f," I`ve always been pretty athletic, I especially love b-ball. Anyway, yeah I can run",I especially love b-ball.,1
6213c6aa27,"your the voice i hear inside my head, the reason that i`m singing, i gotta find you, i need to find you","your the voice i hear inside my head, the reason that i`m singing, i gotta find you, i need to find you",0
84e8a4ddb6, Yeah *fingers crossed*,Yeah *fingers crossed*,0
377b447989,Great first impressions about the little netbook- they only downside is there is no access hatch to upgrade the RAM,Great,1
e99be33a06,Can`t wait to come home! I miss my Bubba. Too bad my parents are taking him to Canada.,Can`t wait to come home! I miss my Bubba. Too bad my parents are taking him to Canada.,0
c6deea2e49, Are you okay?,Are you okay?,0
5c9e1891fe," awesome, I`m looking at sourcing some as well.","awesome,",1
2ece2e6bf2,home for the night to hang out with my mom and study,home for the night to hang out with my mom and study,0
544485627a,Just dusted & vacuumed apartment.  I think I need another new vacuum...my entire apartment is smoky.  I just bought this one from Kmart,...my entire apartment is smoky.,-1
e75353b6d2,"in the words of liana corber: Moreover, WIAIH was a humbling experience... i surprisingly had a decent night",decent,1
f524018791,"i know i have lots of comments to return but i have been really busy  i`ll get round to it guys, sorry",sorry,-1
81cab1b777, ugh some stupid teenagers just showed up. My peaceful time is over,ugh some stupid teenagers just showed up.,-1
09be54d930,is also very excited for the BLAZIN SQUAD revival!  im rooting for `em-- their new song http://tinyurl.com/dz7tms,is also very excited,1
95f2b72c57,"ashley tisdale , i mean . cuz shes in berlin on 6th june and i`m not gonna be there . i wanna start cryin right now :/ ashley pick me up",i wanna start cryin right now :/ as,-1
d5ddd3286b," yw, it gets really hot there in the middle of the summer like 110+ but right now its perfect! and less then an hour away.",perfect!,1
7af995a949,Headin 2 chilis Mr. Presidente`s callin my name! Then 2 the ice house,Headin 2 chilis Mr. Presidente`s callin my name! Then 2 the ice house,0
b2ccc6e924," Oui, I figured that since its a day off, I`d better start brushing up on my french; so far I have learnt Bonjour and Oui","Oui, I figured that since its a day off, I`d better start brushing up on my french; so far I have learnt Bonjour and Oui",0
229919563a,Starting out  bday bash with a Blue Moon  - Photo: http://bkite.com/07k6X,Starting out  bday bash with a Blue Moon  -,0
93ac6c152d,Tired of hearing stories about everybody going to Ibiza...,Tired,-1
907cf43ebc,at work with a HUGE headache,HUGE headache,-1
01a1accd07, Your schmoo is moving? Are you sad?,Your schmoo is moving? Are you sad?,0
6d09c8576b,My TI89 died. I don`t know why.,My TI89 died.,-1
8c733874c0, hehe i found ya,hehe,1
761bdb610e,the globe theatre rocks.......nothing better than romeo & juliet as it was supposed to be watched,rocks..,1
4b58e4b8fc, thanks! Will check next time I`m in Target. It`s over an hour away,thanks! Will check next time I`m in Target. It`s over an hour away,0
4fdd2fa268, He`s a good lad is wore Phil...  known each other for 22 years now... seems like 5 minutes!!  haha   You ok Hayley?,He`s a good lad,1
1775f5e40c, I only saw urs by chance. Who else would have that name! Think I`ll b missing 2nite too.  Thank god for YouTube.,.  Thank god for YouTube.,1
3af30aa0a6,chillin an havin a drink,chillin an havin a drink,0
d703cd3563, I had mint ice-cream for dessert tonight. Love the stuff!,Love,1
1b020a64bc,"CCï¿½s video for Long Gone premiers today on yahoo, dont miss it: http://new.music.yahoo.com/videos/premieres/ AWESOME video and version",AWESOME,1
98c6feaee3, you getting a ton of spam mail into your inbox?? I am too.... driving me insane!!,driving me insane!!,-1
82c8e1b4f9," Hmmm, should have looked at it a little more methinks","Hmmm, should have looked at it a little more methinks",0
f03e4a86e1,I find this tune to be very sexy. Smooth... have a lovely day  ? http://blip.fm/~5yzb6,I find this tune to be very sexy.,1
e8f3f93649, Cause I`m not hearing from you guys!!!,Cause I`m not hearing from you guys!!!,0
5bcc50c275,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,0
f2f112a6cf,Santa monica bound,Santa monica bound,0
cedb1f29ce," Thanks, the more, the merrier","Thanks,",1
cee4eb7282, i`m not worried -it`s a great job!! Quite a nice way to spend the day,great,1
be5c162ed7,It`s too hot. I hate summer  #harrymcflytosing,hate,-1
7e8b34de71, Naw.. it was pretty tame. Only 1 guy in costume.. a Voyager-style 'medical' uni. Disappointed there weren`t any more in costume.,Naw.. it was pretty tame. Only 1 guy in costume.. a Voyager-style 'medical' uni. Disappointed there weren`t any more in costume.,0
6809fcfbbd," haha yeah this is improving my nite big time!!  i have to make a skype call soon tho, so will have to tear myself away..","haha yeah this is improving my nite big time!!  i have to make a skype call soon tho, so will have to tear myself away..",1
e8770f1c78,Ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,then you cry ...,-1
10f09b98c7, LOL. About to leave.,LOL. About to leave.,0
c1fd0d7ee0, well wassup than dont be scurred now! lol you`d probably like it if it came to biting!,well wassup than dont be scurred now! lol you`d probably like it if it came to biting!,0
bfc6b161de,is feeling very sick,sick,-1
733d30d2f7,Haha. It`s pretty good  they`re making something with chicken  yum!,good,1
092613bcc7,"Come an add, new twitter.  Only for fans.","Come an add, new twitter.  Only for fans.",0
cc4c1ddb8b,"to  and , thanks for following me.","to  and , thanks for following me.",1
95a71a0799,All alone at home.....,All alone at home.....,0
87019a2683,i`m on relapse  mom and dad i need you. jesus **** christ you stay away.,i`m on relapse  mom and dad i need you. jesus **** christ you stay away.,0
2e7de7ae8d, LOVE your show  !,LOVE,1
94d2f19ffd,Love ice cream... Love cake... Cookies and cream ice cream cake tops them both,Love,1
10723ad0d7,Packing  I don`t like it..,Packing  I don`t like it..,-1
3020e0246c, ahhh ikr! he`s the cuteset thing ever  Plus it reminds me of twilight which is good cause I looooooove it so much!!,ahhh ikr! he`s the cuteset thing ever  Plus it reminds me of twilight which is good cause I looooooove it so much!,1
5deca37946," gangstarr exgirl to the next girl, nas one mic, hold on i still can`t listen so i guess it dont matter","gangstarr exgirl to the next girl, nas one mic, hold on i still can`t listen so i guess it dont matter",0
6583b6ec22, how`s the baby fever,how`s the baby fever,0
